------------------------------------------------------------------------------------------------------------
  Benchmark    Executor   Suite                     Extra   Core   Size   Var   #Samples   Mean (ms)  
------------------------------------------------------------------------------------------------------------
  Havlak       Runner     NoSlowdown-Havlak-100     15000      1            1                    500   204  
  Havlak       Runner     NoSlowdown-Havlak-100     15000      1           10                    500   205  
  Havlak       Runner     NoSlowdown-Havlak-100     15000      1            2                    500   204  
  Havlak       Runner     NoSlowdown-Havlak-100     15000      1            3                    500   204  
  Havlak       Runner     NoSlowdown-Havlak-100     15000      1            4                    500   204  
  Havlak       Runner     NoSlowdown-Havlak-100     15000      1            5                    500   204  
  Havlak       Runner     NoSlowdown-Havlak-100     15000      1            6                    500   204  
  Havlak       Runner     NoSlowdown-Havlak-100     15000      1            7                    500   204  
  Havlak       Runner     NoSlowdown-Havlak-100     15000      1            8                    500   204  
  Havlak       Runner     NoSlowdown-Havlak-100     15000      1            9                    500   206  
  Havlak       Runner     NoSlowdown-Havlak-150     15000      1            1                    500   204  
  Havlak       Runner     NoSlowdown-Havlak-150     15000      1           10                    500   205  
  Havlak       Runner     NoSlowdown-Havlak-150     15000      1            2                    500   204  
  Havlak       Runner     NoSlowdown-Havlak-150     15000      1            3                    500   204  
  Havlak       Runner     NoSlowdown-Havlak-150     15000      1            4                    500   205  
  Havlak       Runner     NoSlowdown-Havlak-150     15000      1            5                    500   205  
  Havlak       Runner     NoSlowdown-Havlak-150     15000      1            6                    500   203  
  Havlak       Runner     NoSlowdown-Havlak-150     15000      1            7                    500   204  
  Havlak       Runner     NoSlowdown-Havlak-150     15000      1            8                    500   203  
  Havlak       Runner     NoSlowdown-Havlak-150     15000      1            9                    500   203  
  Havlak       Runner     NoSlowdown-Havlak-50      15000      1            1                    500   203  
  Havlak       Runner     NoSlowdown-Havlak-50      15000      1           10                    500   202  
  Havlak       Runner     NoSlowdown-Havlak-50      15000      1            2                    500   203  
  Havlak       Runner     NoSlowdown-Havlak-50      15000      1            3                    500   202  
