FileName,TargetBlock,Iteration,Benchmark,IsSlowdown,Method1,Percent1,Method2,Percent2,Method3,Percent3,Method4,Percent4,Method5,Percent5
3_1_Json_Slowdown.xml,3,1,Json,Slowdown,"json.JsonPureStringParser.skipWhiteSpace",29.4,"json.JsonPureStringParser.read",28.0,"json.JsonPureStringParser.endCapture",11.7,"json.JsonPureStringParser.readDigit",11.1,"json.JsonPureStringParser.readChar",7.0
3_1_List_Slowdown.xml,3,1,List,Slowdown,"List.isShorterThan",90.2,"List.tail",9.1,"List.makeList",0.3,"List.benchmark",0.2,"List$Element.length",0.1
3_1_Richards_Slowdown.xml,3,1,Richards,Slowdown,"richards.TaskControlBlock.runTask",76.0,"richards.Scheduler.schedule",22.8,"richards.RBObject.append",0.2,"richards.Scheduler.start",0.1,"Run.reportBenchmark",0.1
3_2_Havlak_Slowdown.xml,3,2,Havlak,Slowdown,"som.Vector.forEach",57.5,"som.Vector.append",12.4,"havlak.HavlakLoopFinder.doDFS",9.1,"havlak.HavlakLoopFinder.findLoops",8.2,"java.util.Arrays.copyOf",4.2
3_2_Json_Slowdown.xml,3,2,Json,Slowdown,"json.JsonPureStringParser.skipWhiteSpace",28.0,"json.JsonPureStringParser.read",27.2,"json.JsonPureStringParser.endCapture",14.3,"json.JsonPureStringParser.readDigit",10.5,"json.JsonPureStringParser.readChar",6.7
3_2_List_Slowdown.xml,3,2,List,Slowdown,"List.isShorterThan",89.7,"List.tail",9.5,"List.makeList",0.4,"List.benchmark",0.3,"List$Element.length",0.1
3_2_Richards_Slowdown.xml,3,2,Richards,Slowdown,"richards.TaskControlBlock.runTask",75.8,"richards.Scheduler.schedule",23.2,"Run.reportBenchmark",0.1,"Benchmark.innerBenchmarkLoop",0.1,"java.io.PrintStream.println",0.1
3_3_Havlak_Slowdown.xml,3,3,Havlak,Slowdown,"som.Vector.forEach",58.4,"som.Vector.append",12.1,"havlak.HavlakLoopFinder.findLoops",8.8,"havlak.HavlakLoopFinder.doDFS",8.3,"java.util.Arrays.copyOf",4.0
3_3_Json_Slowdown.xml,3,3,Json,Slowdown,"json.JsonPureStringParser.read",28.6,"json.JsonPureStringParser.skipWhiteSpace",28.1,"json.JsonPureStringParser.endCapture",14.0,"json.JsonPureStringParser.readDigit",10.4,"json.JsonPureStringParser.readChar",6.6
3_3_List_Slowdown.xml,3,3,List,Slowdown,"List.isShorterThan",89.7,"List.tail",9.6,"List.makeList",0.3,"List.benchmark",0.3,"java.io.PrintStream.println",0.1
3_3_Richards_Slowdown.xml,3,3,Richards,Slowdown,"richards.TaskControlBlock.runTask",75.5,"richards.Scheduler.schedule",23.2,"richards.RBObject.append",0.3,"java.io.PrintStream.println",0.1,"Run.reportBenchmark",0.1
3_4_Havlak_Slowdown.xml,3,4,Havlak,Slowdown,"som.Vector.forEach",59.0,"som.Vector.append",12.4,"havlak.HavlakLoopFinder.findLoops",8.3,"havlak.HavlakLoopFinder.doDFS",8.1,"java.util.Arrays.copyOf",3.9
3_4_Json_Slowdown.xml,3,4,Json,Slowdown,"json.JsonPureStringParser.read",28.0,"json.JsonPureStringParser.skipWhiteSpace",27.9,"json.JsonPureStringParser.endCapture",13.9,"json.JsonPureStringParser.readDigit",10.4,"json.JsonPureStringParser.readChar",7.4
3_4_List_Slowdown.xml,3,4,List,Slowdown,"List.isShorterThan",89.7,"List.tail",9.4,"List.makeList",0.4,"List.benchmark",0.2,"List$Element.length",0.1
3_4_Richards_Slowdown.xml,3,4,Richards,Slowdown,"richards.TaskControlBlock.runTask",76.3,"richards.Scheduler.schedule",22.4,"richards.RBObject.append",0.3,"Run.reportBenchmark",0.1,"richards.Scheduler.start",0.1
3_5_Havlak_Slowdown.xml,3,5,Havlak,Slowdown,"som.Vector.forEach",58.5,"som.Vector.append",12.5,"havlak.HavlakLoopFinder.findLoops",8.9,"havlak.HavlakLoopFinder.doDFS",7.6,"java.util.Arrays.copyOf",4.0
3_5_Json_Slowdown.xml,3,5,Json,Slowdown,"json.JsonPureStringParser.skipWhiteSpace",29.7,"json.JsonPureStringParser.read",27.7,"json.JsonPureStringParser.endCapture",13.0,"json.JsonPureStringParser.readDigit",10.7,"json.JsonPureStringParser.readChar",7.3
3_5_List_Slowdown.xml,3,5,List,Slowdown,"List.isShorterThan",88.9,"List.tail",10.1,"List.makeList",0.4,"List.benchmark",0.3,"List$Element.length",0.1
3_5_Richards_Slowdown.xml,3,5,Richards,Slowdown,"richards.TaskControlBlock.runTask",74.4,"richards.Scheduler.schedule",24.2,"richards.RBObject.append",0.3,"java.io.PrintStream.println",0.1,"richards.Scheduler.start",0.1
3_6_Havlak_Slowdown.xml,3,6,Havlak,Slowdown,"som.Vector.forEach",58.8,"som.Vector.append",12.8,"havlak.HavlakLoopFinder.doDFS",7.9,"havlak.HavlakLoopFinder.findLoops",7.9,"java.util.Arrays.copyOf",3.9
3_6_Json_Slowdown.xml,3,6,Json,Slowdown,"json.JsonPureStringParser.skipWhiteSpace",29.1,"json.JsonPureStringParser.read",28.2,"json.JsonPureStringParser.endCapture",12.5,"json.JsonPureStringParser.readDigit",10.9,"json.JsonPureStringParser.readChar",6.8
3_6_List_Slowdown.xml,3,6,List,Slowdown,"List.isShorterThan",89.6,"List.tail",9.5,"List.makeList",0.3,"List.benchmark",0.3,"List$Element.length",0.1
3_6_Richards_Slowdown.xml,3,6,Richards,Slowdown,"richards.TaskControlBlock.runTask",74.1,"richards.Scheduler.schedule",24.7,"richards.RBObject.append",0.3,"java.io.PrintStream.println",0.1,"richards.Scheduler.start",0.1
